route_id,交通機関種別,路線名,停留所1,停留所2,停留所3,停留所4,停留所5,停留所6,停留所7
r_001,バス,江92[共栄線],情報大学前,野幌駅北口,,,,,
r_002,バス,江92[共栄線],情報大学前,野幌駅北口,,,,,
r_003,バス,江92[共栄線],野幌駅北口,情報大学前,,,,,
r_004,バス,江92[共栄線],野幌駅北口,情報大学前,,,,,
r_005,バス,新24[大麻団地線〔北翔大経由〕],大麻駅南口,新札幌駅,,,,,
r_006,バス,新24[大麻団地線〔北翔大経由〕],大麻駅南口,新札幌駅,,,,,
r_007,バス,新26[江別線・ゆめみ野線],野幌駅北口,大麻駅南口,厚別中央2条6丁目,新札幌駅,,,
r_008,バス,新26[江別線・ゆめみ野線],野幌駅北口,大麻駅南口,厚別中央2条6丁目,新札幌駅,,,
r_009,バス,新26[江別線・ゆめみ野線],新札幌駅,厚別中央2条6丁目,大麻駅南口,野幌駅北口,,,
r_010,バス,新26[江別線・ゆめみ野線],新札幌駅,厚別中央2条6丁目,大麻駅南口,野幌駅北口,,,
r_011,バス,新29[野幌運動公園線],eDCタワー前(構内),情報大学前(白樺通沿),野幌駅南口,若葉1丁目,大麻駅南口,厚別中央2条6丁目,新札幌駅
r_012,バス,新29[野幌運動公園線],情報大学前(白樺通沿),野幌駅南口,若葉1丁目,大麻駅南口,厚別中央2条6丁目,新札幌駅
r_013,バス,新29[野幌運動公園線],新札幌駅,厚別中央2条6丁目,大麻駅南口,若葉1丁目,野幌駅南口,情報大学前(白樺通沿),eDCタワー前(構内)
r_014,バス,新29[野幌運動公園線],新札幌駅,厚別中央2条6丁目,大麻駅南口,若葉1丁目,野幌駅南口,情報大学前(白樺通沿),
r_015,JR,函館本線,野幌駅,大麻駅,厚別駅,札幌駅,,,
r_016,JR,函館本線,野幌駅,大麻駅,厚別駅,札幌駅,,,
r_017,JR,函館本線,札幌駅,厚別駅,大麻駅,野幌駅,,,
r_018,JR,函館本線,札幌駅,厚別駅,大麻駅,野幌駅,,,
